# Force coefficients
# liftDir  : (0.000e+00 0.000e+00 1.000e+00)
# dragDir  : (1.000e+00 0.000e+00 0.000e+00)
# pitchAxis: (0.000e+00 1.000e+00 0.000e+00)
# magUInf  : 1.500e+01
# lRef     : 1.590e+00
# Aref     : 7.259e-01
# CofR     : (7.200e-01 0.000e+00 0.000e+00)
# Time     	Cm         	Cd         	Cl         	Cl(f)      	Cl(r)      
275        	-2.767e+00	-1.273e+00	-3.227e+00	-4.380e+00	1.154e+00
276        	-2.761e+00	-1.275e+00	-3.220e+00	-4.371e+00	1.151e+00
277        	-2.756e+00	-1.276e+00	-3.214e+00	-4.363e+00	1.148e+00
278        	-2.752e+00	-1.278e+00	-3.210e+00	-4.357e+00	1.147e+00
279        	-2.749e+00	-1.279e+00	-3.207e+00	-4.353e+00	1.145e+00
280        	-2.747e+00	-1.281e+00	-3.206e+00	-4.350e+00	1.144e+00
281        	-2.746e+00	-1.282e+00	-3.206e+00	-4.349e+00	1.143e+00
282        	-2.746e+00	-1.283e+00	-3.207e+00	-4.349e+00	1.143e+00
283        	-2.746e+00	-1.283e+00	-3.208e+00	-4.350e+00	1.142e+00
284        	-2.747e+00	-1.284e+00	-3.211e+00	-4.352e+00	1.142e+00
285        	-2.748e+00	-1.284e+00	-3.214e+00	-4.355e+00	1.141e+00
286        	-2.749e+00	-1.283e+00	-3.217e+00	-4.358e+00	1.141e+00
287        	-2.750e+00	-1.283e+00	-3.221e+00	-4.361e+00	1.140e+00
288        	-2.751e+00	-1.282e+00	-3.224e+00	-4.363e+00	1.139e+00
289        	-2.751e+00	-1.281e+00	-3.227e+00	-4.365e+00	1.138e+00
290        	-2.751e+00	-1.280e+00	-3.229e+00	-4.365e+00	1.136e+00
291        	-2.749e+00	-1.279e+00	-3.230e+00	-4.364e+00	1.134e+00
292        	-2.746e+00	-1.278e+00	-3.228e+00	-4.360e+00	1.132e+00
293        	-2.742e+00	-1.277e+00	-3.225e+00	-4.354e+00	1.129e+00
294        	-2.736e+00	-1.276e+00	-3.221e+00	-4.347e+00	1.126e+00
295        	-2.730e+00	-1.275e+00	-3.215e+00	-4.338e+00	1.122e+00
296        	-2.724e+00	-1.275e+00	-3.210e+00	-4.329e+00	1.119e+00
297        	-2.718e+00	-1.274e+00	-3.204e+00	-4.320e+00	1.116e+00
298        	-2.713e+00	-1.274e+00	-3.199e+00	-4.312e+00	1.113e+00
