# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
84         	((-3.219e+01 1.104e+01 5.176e+01) (-8.104e-01 -3.592e-01 -2.548e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.493e+01 4.590e+01 3.841e+00) (-1.433e+01 -4.122e+01 8.793e-01) (0.000e+00 0.000e+00 0.000e+00))
85         	((-3.199e+01 1.082e+01 5.195e+01) (-8.153e-01 -3.506e-01 -2.552e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.509e+01 4.623e+01 3.969e+00) (-1.436e+01 -4.129e+01 8.662e-01) (0.000e+00 0.000e+00 0.000e+00))
86         	((-3.179e+01 1.054e+01 5.213e+01) (-8.209e-01 -3.430e-01 -2.555e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.524e+01 4.655e+01 4.090e+00) (-1.438e+01 -4.135e+01 8.545e-01) (0.000e+00 0.000e+00 0.000e+00))
87         	((-3.157e+01 1.017e+01 5.229e+01) (-8.272e-01 -3.378e-01 -2.559e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.537e+01 4.683e+01 4.281e+00) (-1.440e+01 -4.140e+01 8.466e-01) (0.000e+00 0.000e+00 0.000e+00))
88         	((-3.137e+01 9.688e+00 5.240e+01) (-8.339e-01 -3.358e-01 -2.562e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.546e+01 4.703e+01 4.597e+00) (-1.442e+01 -4.145e+01 8.437e-01) (0.000e+00 0.000e+00 0.000e+00))
89         	((-3.124e+01 9.089e+00 5.244e+01) (-8.413e-01 -3.363e-01 -2.564e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.552e+01 4.713e+01 5.062e+00) (-1.444e+01 -4.149e+01 8.449e-01) (0.000e+00 0.000e+00 0.000e+00))
90         	((-3.122e+01 8.397e+00 5.241e+01) (-8.496e-01 -3.389e-01 -2.566e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.552e+01 4.714e+01 5.680e+00) (-1.445e+01 -4.152e+01 8.497e-01) (0.000e+00 0.000e+00 0.000e+00))
91         	((-3.130e+01 7.678e+00 5.231e+01) (-8.591e-01 -3.438e-01 -2.568e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.548e+01 4.705e+01 6.393e+00) (-1.446e+01 -4.155e+01 8.580e-01) (0.000e+00 0.000e+00 0.000e+00))
92         	((-3.147e+01 7.037e+00 5.213e+01) (-8.693e-01 -3.498e-01 -2.569e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.539e+01 4.686e+01 7.101e+00) (-1.447e+01 -4.158e+01 8.684e-01) (0.000e+00 0.000e+00 0.000e+00))
93         	((-3.171e+01 6.547e+00 5.185e+01) (-8.799e-01 -3.562e-01 -2.571e+01) (0.000e+00 0.000e+00 0.000e+00)) ((1.525e+01 4.651e+01 7.734e+00) (-1.448e+01 -4.160e+01 8.801e-01) (0.000e+00 0.000e+00 0.000e+00))
